Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,Distributor,Opening,Budget,Date,Runtime,Genres
270,Les Misérables,"$441,809,770","$148,809,770",33.7%,"$293,000,000",66.3%,2012,UniversalPictures,"$27,281,735","$61,000,000","December19,2012(SouthKorea)",2hr38min,DramaHistoryMusicalRomanceWar
271,The Exorcist,"$441,306,145","$232,906,145",52.8%,"$208,400,000",47.2%,1973,,$0,$0,,,
272,Mrs. Doubtfire,"$441,286,195","$219,195,243",49.7%,"$222,090,952",50.3%,1993,TwentiethCenturyFox,"$20,468,847","$25,000,000","November24,1993(Domestic)",2hr5min,ComedyDramaFamily
273,Terminator Genisys,"$440,603,537","$89,760,956",20.4%,"$350,842,581",79.6%,2015,ParamountPictures,"$27,018,486","$155,000,000","June25,2015(6markets)",2hr6min,ActionAdventureSci-FiThriller
274,Warcraft,"$439,048,914","$47,365,290",10.8%,"$391,683,624",89.2%,2016,UniversalPictures,"$24,166,110","$160,000,000","May25,2016(EMEA,APAC)",2hr3min,ActionAdventureFantasyWar
275,The Greatest Showman,"$436,755,494","$174,340,174",39.9%,"$262,415,320",60.1%,2017,TwentiethCenturyFox,"$8,805,843","$84,000,000","December20,2017(Domestic,APAC)",1hr45min,BiographyDramaMusical
276,A Star Is Born,"$436,188,866","$215,288,866",49.4%,"$220,900,000",50.6%,2018,WarnerBros.,"$42,908,051","$36,000,000","October3,2018(EMEA)",2hr16min,DramaMusicRomance
277,Pokémon Detective Pikachu,"$433,921,300","$144,105,346",33.2%,"$289,815,954",66.8%,2019,WarnerBros.,"$54,365,242","$150,000,000","May3,2019(Japan)",1hr44min,ActionAdventureComedyFamilyMysterySci-Fi
278,Terminator 3: Rise of the Machines,"$433,371,112","$150,371,112",34.7%,"$283,000,000",65.3%,2003,WarnerBros.,"$44,041,440","$200,000,000","July2,2003(Domestic)",1hr49min,ActionSci-Fi
279,Die Another Day,"$431,971,116","$160,942,139",37.3%,"$271,028,977",62.7%,2002,Metro-Goldwyn-Mayer(MGM),"$47,072,040","$142,000,000","November20,2002(France)",2hr13min,ActionAdventureThriller
280,The Secret Life of Pets 2,"$430,051,293","$158,874,395",36.9%,"$271,176,898",63.1%,2019,UniversalPictures,"$46,652,680","$80,000,000","May24,2019(UnitedKingdom)",1hr26min,AdventureAnimationComedyFamily
281,Cast Away,"$429,632,142","$233,632,142",54.4%,"$196,000,000",45.6%,2000,TwentiethCenturyFox,"$28,883,406","$90,000,000","December22,2000(Domestic)",2hr23min,AdventureDramaRomance
282,Rampage,"$428,028,233","$101,028,233",23.6%,"$327,000,000",76.4%,2018,WarnerBros.,"$35,753,093","$120,000,000","April11,2018(Indonesia)",1hr47min,ActionAdventureSci-Fi
283,The King's Speech,"$427,374,317","$138,797,449",32.5%,"$288,576,868",67.5%,2010,TheWeinsteinCompany,"$355,450","$15,000,000","November26,2010(Domestic)",1hr58min,BiographyDramaHistory
284,The Matrix Revolutions,"$427,344,325","$139,313,948",32.6%,"$288,030,377",67.4%,2003,WarnerBros.,"$48,475,154","$150,000,000","November5,2003(13markets)",2hr9min,ActionSci-Fi
285,The Intouchables,"$426,588,510","$10,198,820",2.4%,"$416,389,690",97.6%,2011,,$0,$0,,,
286,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%,2020,SonyPicturesEntertainment(SPE),"$62,504,105","$90,000,000","January15,2020(APAC,LATAM)",2hr4min,ActionComedyCrimeThriller
287,Django Unchained,"$426,074,373","$162,805,434",38.2%,"$263,268,939",61.8%,2012,TheWeinsteinCompany,"$30,122,888","$100,000,000","December25,2012(Domestic)",2hr45min,DramaWestern
288,Beauty and the Beast,"$424,967,620","$218,967,620",51.5%,"$206,000,000",48.5%,1991,,$0,$0,,,
289,Dances with Wolves,"$424,208,848","$184,208,848",43.4%,"$240,000,000",56.6%,1990,,$0,$0,,,
290,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%,2020,,$0,$0,,,
291,The Chronicles of Narnia: Prince Caspian,"$419,665,568","$141,621,490",33.8%,"$278,044,078",66.2%,2008,WaltDisneyStudiosMotionPictures,"$55,034,805","$225,000,000","May15,2008(8markets)",2hr30min,ActionAdventureFamilyFantasy
292,Sex and the City,"$418,765,519","$152,647,258",36.4%,"$266,118,261",63.6%,2008,WarnerBros.,"$57,038,404","$65,000,000","May28,2008(EMEA,APAC)",2hr25min,ComedyDramaRomance
293,The Captain,"$417,282,021","$706,572",0.2%,"$416,575,449",99.8%,2019,,$0,$0,,,
294,The Mummy,"$415,933,406","$155,385,488",37.4%,"$260,547,918",62.6%,1999,UniversalPictures,"$43,369,635","$80,000,000","May7,1999(Domestic)",2hr4min,ActionAdventureFantasy
295,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217","$104,386,950",25.1%,"$311,299,267",74.9%,2010,TwentiethCenturyFox,"$24,005,069","$155,000,000","December2,2010(Australia)",1hr53min,AdventureFamilyFantasy
296,Jason Bourne,"$415,484,914","$162,434,410",39.1%,"$253,050,504",60.9%,2016,UniversalPictures,"$59,215,365","$120,000,000","July27,2016(APAC)",2hr3min,ActionThriller
297,The Wolverine,"$414,828,246","$132,556,852",32%,"$282,271,394",68%,2013,TwentiethCenturyFox,"$53,113,752","$120,000,000","July24,2013(EMEA)",2hr6min,ActionSci-Fi
298,Kingsman: The Secret Service,"$414,351,546","$128,261,724",31%,"$286,089,822",69%,2015,TwentiethCenturyFox,"$36,206,331","$81,000,000","January30,2015(EMEA)",2hr9min,ActionAdventureComedyThriller
299,Night at the Museum: Battle of the Smithsonian,"$413,106,170","$177,243,721",42.9%,"$235,862,449",57.1%,2009,TwentiethCenturyFox,"$54,173,286","$150,000,000","May20,2009(EMEA,APAC)",1hr45min,AdventureComedyFamilyFantasy
300,Batman,"$411,508,343","$251,348,343",61.1%,"$160,160,000",38.9%,1989,,$0,$0,,,
301,The Bodyguard,"$411,006,740","$122,006,740",29.7%,"$289,000,000",70.3%,1992,,$0,$0,,,
302,Pacific Rim,"$411,002,906","$101,802,906",24.8%,"$309,200,000",75.2%,2013,WarnerBros.,"$37,285,325","$190,000,000","July11,2013(22markets)",2hr11min,ActionAdventureSci-Fi
