Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,Distributor,Opening,Budget,Date,Runtime,Genres
754,Bad Teacher,"$216,197,492","$100,292,856",46.4%,"$115,904,636",53.6%,2011,SonyPicturesEntertainment(SPE),"$31,603,106","$20,000,000","June17,2011(UnitedKingdom)",1hr32min,ComedyRomance
755,A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%,2020,,$0,$0,,,
756,The Croods: A New Age,"$215,905,815","$58,568,815",27.1%,"$157,337,000",72.9%,2020,,$0,$0,,,
757,Clear and Present Danger,"$215,887,717","$122,187,717",56.6%,"$93,700,000",43.4%,1994,ParamountPictures,"$20,348,017","$62,000,000","August5,1994(Domestic)",2hr21min,ActionCrimeDramaThriller
758,One Hundred and One Dalmatians,"$215,880,014","$144,880,014",67.1%,"$71,000,000",32.9%,1961,,$0,$0,,,
759,Ted 2,"$215,863,606","$81,476,385",37.7%,"$134,387,221",62.3%,2015,UniversalPictures,"$33,507,870","$68,000,000","June19,2015(Bulgaria)",1hr55min,Comedy
760,Dracula,"$215,862,692","$82,522,790",38.2%,"$133,339,902",61.8%,1992,ColumbiaPictures,"$30,521,679","$40,000,000","November13,1992(Domestic)",2hr8min,Horror
761,Vertical Limit,"$215,663,859","$69,243,859",32.1%,"$146,420,000",67.9%,2000,SonyPicturesEntertainment(SPE),"$15,507,845","$75,000,000","December8,2000(Domestic)",2hr4min,ActionAdventureDramaThriller
762,Ghostbusters II,"$215,394,738","$112,494,738",52.2%,"$102,900,000",47.8%,1989,,$0,$0,,,
763,The Patriot,"$215,294,342","$113,330,342",52.6%,"$101,964,000",47.4%,2000,SonyPicturesEntertainment(SPE),"$22,413,710","$110,000,000","June28,2000(Domestic)",2hr45min,ActionDramaHistoryWar
764,The Sorcerer's Apprentice,"$215,283,742","$63,150,991",29.3%,"$152,132,751",70.7%,2010,WaltDisneyStudiosMotionPictures,"$17,619,622","$150,000,000","July14,2010(Domestic)",1hr49min,ActionAdventureFamilyFantasy
765,Just Go with It,"$214,945,591","$103,028,109",47.9%,"$111,917,482",52.1%,2011,SonyPicturesEntertainment(SPE),"$30,514,732","$80,000,000","February9,2011(EMEA,LATAM)",1hr57min,ComedyRomance
766,The Expendables 3,"$214,657,577","$39,322,544",18.3%,"$175,335,033",81.7%,2014,,$0,$0,,,
767,Dirty Dancing,"$214,577,242","$64,577,242",30.1%,"$150,000,000",69.9%,1987,,$0,$0,,,
768,Creed II,"$214,215,889","$115,715,889",54%,"$98,500,000",46%,2018,Metro-Goldwyn-Mayer(MGM),"$35,574,710","$50,000,000","November21,2018(Domestic)",2hr10min,DramaSport
769,Public Enemies,"$214,104,620","$97,104,620",45.4%,"$117,000,000",54.6%,2009,UniversalPictures,"$25,271,675","$100,000,000","June24,2009(France)",2hr20min,BiographyCrimeDramaHistory
770,Smallfoot,"$214,040,103","$83,240,103",38.9%,"$130,800,000",61.1%,2018,,$0,$0,,,
771,The Bourne Identity,"$214,034,224","$121,661,683",56.8%,"$92,372,541",43.2%,2002,UniversalPictures,"$27,118,640","$60,000,000","June14,2002(Domestic)",1hr59min,ActionMysteryThriller
772,Disclosure,"$214,015,089","$83,015,089",38.8%,"$131,000,000",61.2%,1994,WarnerBros.,"$10,068,126","$55,000,000","December9,1994(Domestic)",2hr8min,DramaThriller
773,Pulp Fiction,"$213,928,762","$107,928,762",50.4%,"$106,000,000",49.6%,1994,Miramax,"$9,311,882","$8,000,000","October14,1994(Domestic)",2hr34min,CrimeDrama
774,The Aviator,"$213,719,942","$102,610,330",48%,"$111,109,612",52%,2004,Miramax,"$858,021","$110,000,000","December17,2004(Domestic)",2hr50min,BiographyDrama
775,"Crouching Tiger, Hidden Dragon","$213,525,736","$128,078,872",60%,"$85,446,864",40%,2000,SonyPicturesClassics,"$663,205","$17,000,000","December8,2000(Domestic)",2hr,ActionAdventureFantasyRomance
776,Braveheart,"$213,216,216","$75,609,945",35.5%,"$137,606,271",64.5%,1995,ParamountPictures,"$9,938,276","$72,000,000","May24,1995(Domestic)",2hr58min,BiographyDramaHistoryWar
777,Into the Woods,"$212,902,372","$128,002,372",60.1%,"$84,900,000",39.9%,2014,WaltDisneyStudiosMotionPictures,"$31,051,923","$50,000,000","December24,2014(SouthKorea)",2hr5min,AdventureComedyDramaFantasyMusical
778,Bedtime Stories,"$212,874,864","$110,101,975",51.7%,"$102,772,889",48.3%,2008,WaltDisneyStudiosMotionPictures,"$27,450,296","$80,000,000","December24,2008(EMEA)",1hr39min,AdventureComedyFamilyFantasyRomanceSci-Fi
779,Miss Congeniality,"$212,742,720","$106,807,667",50.2%,"$105,935,053",49.8%,2000,WarnerBros.,"$10,046,534","$45,000,000","December22,2000(Domestic)",1hr49min,ActionComedyCrimeRomance
780,Entrapment,"$212,404,396","$87,704,396",41.3%,"$124,700,000",58.7%,1999,TwentiethCenturyFox,"$20,145,595","$66,000,000","April30,1999(Domestic)",1hr53min,ActionCrimeRomanceThriller
781,Ace Ventura: When Nature Calls,"$212,385,533","$108,385,533",51%,"$104,000,000",49%,1995,,$0,$0,,,
782,End of Days,"$211,989,043","$66,889,043",31.6%,"$145,100,000",68.4%,1999,UniversalPictures,"$20,523,595","$100,000,000","November24,1999(Domestic)",2hr2min,ActionFantasyHorrorThriller
783,Bridget Jones's Baby,"$211,952,420","$24,252,420",11.4%,"$187,700,000",88.6%,2016,UniversalPictures,"$8,571,785","$35,000,000","September14,2016(Philippines)",2hr3min,ComedyDramaRomance
784,Fury,"$211,822,697","$85,817,906",40.5%,"$126,004,791",59.5%,2014,SonyPicturesEntertainment(SPE),"$23,702,421","$68,000,000","October17,2014(Domestic)",2hr14min,ActionDramaWar
785,Battle Los Angeles,"$211,819,354","$83,552,429",39.4%,"$128,266,925",60.6%,2011,SonyPicturesEntertainment(SPE),"$35,573,187","$70,000,000","March9,2011(LATAM,EMEA)",1hr56min,ActionSci-Fi
786,Australia,"$211,787,511","$49,554,002",23.4%,"$162,233,509",76.6%,2008,TwentiethCenturyFox,"$14,800,723","$130,000,000","November26,2008(4markets)",2hr45min,AdventureComedyDramaRomanceWarWestern
787,Due Date,"$211,780,824","$100,539,043",47.5%,"$111,241,781",52.5%,2010,WarnerBros.,"$32,689,406","$65,000,000","November3,2010(EMEA)",1hr35min,ComedyDrama
788,Master and Commander: The Far Side of the World,"$211,622,535","$93,927,920",44.4%,"$117,694,615",55.6%,2003,TwentiethCenturyFox,"$25,105,990","$150,000,000","November14,2003(Domestic)",2hr18min,ActionAdventureDramaHistoryWar
789,A Series of Unfortunate Events,"$211,468,235","$118,634,549",56.1%,"$92,833,686",43.9%,2004,ParamountPictures,"$30,061,756","$140,000,000","December16,2004(APAC,EMEA)",1hr48min,AdventureComedyFamilyFantasy
790,The Little Mermaid,"$211,343,479","$111,543,479",52.8%,"$99,800,000",47.2%,1989,,$0,$0,,,
791,District 9,"$210,888,950","$115,646,235",54.8%,"$95,242,715",45.2%,2009,TriStarPictures,"$37,354,308","$30,000,000","August13,2009(EMEA,APAC)",1hr52min,ActionSci-FiThriller
792,Moonraker,"$210,308,099","$70,308,099",33.4%,"$140,000,000",66.6%,1979,,$0,$0,,,
793,The Others,"$209,947,037","$96,522,687",46%,"$113,424,350",54%,2001,Miramax,"$14,089,952","$17,000,000","August10,2001(Domestic)",1hr41min,HorrorMysteryThriller
794,Horrible Bosses,"$209,838,559","$117,538,559",56%,"$92,300,000",44%,2011,WarnerBros.,"$28,302,165","$35,000,000","July7,2011(EMEA)",1hr38min,ComedyCrime
795,Us and Them,"$209,221,380",-,-,"$209,221,380",100%,2018,,$0,$0,,,
796,Red Dragon,"$209,196,298","$93,149,898",44.5%,"$116,046,400",55.5%,2002,UniversalPictures,"$36,540,945","$78,000,000","October4,2002(Domestic)",2hr4min,CrimeDramaThriller
797,Tomorrowland,"$209,035,668","$93,436,322",44.7%,"$115,599,346",55.3%,2015,WaltDisneyStudiosMotionPictures,"$33,028,165","$190,000,000","May20,2015(EMEA)",2hr10min,ActionAdventureFamilyFantasyMysterySci-Fi
798,Me Before You,"$208,314,186","$56,245,075",27%,"$152,069,111",73%,2016,WarnerBros.,"$18,723,269","$20,000,000","June1,2016(SouthKorea)",1hr46min,DramaRomance
799,Safe House,"$208,076,205","$126,373,434",60.7%,"$81,702,771",39.3%,2012,UniversalPictures,"$40,172,720","$85,000,000","February8,2012(Egypt)",1hr55min,ActionThriller
800,S.W.A.T.,"$207,725,639","$116,934,650",56.3%,"$90,790,989",43.7%,2003,SonyPicturesEntertainment(SPE),"$37,062,535","$80,000,000","August8,2003(Domestic)",1hr57min,ActionAdventureCrimeThriller
801,Traffic,"$207,515,725","$124,115,725",59.8%,"$83,400,000",40.2%,2000,,$0,$0,,,
802,The Fast and the Furious,"$207,305,509","$144,533,925",69.7%,"$62,771,584",30.3%,2001,UniversalPictures,"$40,089,015","$38,000,000","June22,2001(Domestic)",1hr46min,ActionCrimeThriller
803,Paranormal Activity 3,"$207,039,844","$104,028,807",50.2%,"$103,011,037",49.8%,2011,ParamountPictures,"$52,568,183","$5,000,000","October19,2011(EMEA)",1hr23min,HorrorMystery
804,Philadelphia,"$206,678,440","$77,446,440",37.5%,"$129,232,000",62.5%,1993,TriStarPictures,"$143,433","$26,000,000","December24,1993(Domestic)",2hr5min,Drama
805,Sleepy Hollow,"$206,071,502","$101,071,502",49%,"$105,000,000",51%,1999,ParamountPictures,"$30,060,467","$100,000,000","November19,1999(Domestic)",1hr45min,FantasyHorrorMystery
806,Jungle Cruise,"$205,937,799","$113,028,509",54.9%,"$92,909,290",45.1%,2021,,$0,$0,,,
807,The Holiday,"$205,850,134","$63,224,849",30.7%,"$142,625,285",69.3%,2006,SonyPicturesEntertainment(SPE),"$12,778,913","$85,000,000","December5,2006(Spain)",2hr16min,ComedyRomance
808,The Jungle Book,"$205,843,612","$141,843,612",68.9%,"$64,000,000",31.1%,1967,,$0,$0,,,
809,London Has Fallen,"$205,754,447","$62,524,260",30.4%,"$143,230,187",69.6%,2016,FocusFeatures,"$21,635,601","$60,000,000","March2,2016(EMEA)",1hr39min,ActionThriller
810,The Break-Up,"$205,668,210","$118,703,275",57.7%,"$86,964,935",42.3%,2006,UniversalPictures,"$39,172,785","$52,000,000","June2,2006(Domestic)",1hr46min,ComedyDramaRomance
811,Journey to the West,"$205,637,183","$18,058",<0.1%,"$205,619,125",100%,2013,,$0,$0,,,
812,JFK,"$205,405,498","$70,405,498",34.3%,"$135,000,000",65.7%,1991,,$0,$0,,,
813,White House Down,"$205,366,737","$73,103,784",35.6%,"$132,262,953",64.4%,2013,SonyPicturesEntertainment(SPE),"$24,852,258","$150,000,000","June27,2013(EMEA,APAC)",2hr11min,ActionDramaThriller
814,A Dog's Purpose,"$205,035,819","$64,508,620",31.5%,"$140,527,199",68.5%,2017,UniversalPictures,"$18,222,810","$22,000,000","January19,2017(Italy)",1hr40min,AdventureComedyDramaFamilyFantasy
815,Ponyo,"$204,826,668","$15,743,471",7.7%,"$189,083,197",92.3%,2008,,$0,$0,,,
816,Fun with Dick and Jane,"$204,681,899","$110,332,737",53.9%,"$94,349,162",46.1%,2005,SonyPicturesEntertainment(SPE),"$14,383,515","$100,000,000","December21,2005(Domestic)",1hr30min,ComedyCrime
817,Eat Pray Love,"$204,594,016","$80,574,010",39.4%,"$124,020,006",60.6%,2010,SonyPicturesEntertainment(SPE),"$23,104,523","$60,000,000","August13,2010(Domestic)",2hr13min,BiographyDramaRomance
818,You Don't Mess with the Zohan,"$204,313,400","$100,018,837",49%,"$104,294,563",51%,2008,SonyPicturesEntertainment(SPE),"$38,531,374","$90,000,000","June5,2008(Curaçao)",1hr53min,Comedy
819,The Addams Family,"$203,783,845","$100,723,831",49.4%,"$103,060,014",50.6%,2019,UnitedArtistsReleasing,"$30,300,007","$24,000,000","October11,2019(EMEA,Domestic)",1hr26min,AdventureAnimationComedyFamilyFantasyHorror
820,King Arthur,"$203,567,857","$51,882,244",25.5%,"$151,685,613",74.5%,2004,WaltDisneyStudiosMotionPictures,"$15,193,907","$120,000,000","July7,2004(Domestic)",2hr6min,ActionAdventureDramaHistoryWar
821,Hairspray,"$203,553,311","$118,871,849",58.4%,"$84,681,462",41.6%,2007,,$0,$0,,,
822,Yogi Bear,"$203,509,374","$100,246,011",49.3%,"$103,263,363",50.7%,2010,WarnerBros.,"$16,411,322","$80,000,000","December17,2010(Domestic)",1hr21min,AdventureAnimationComedyFamily
823,Everest,"$203,427,584","$43,482,270",21.4%,"$159,945,314",78.6%,2015,UniversalPictures,"$7,222,035","$55,000,000","September10,2015(Peru)",2hr1min,ActionAdventureBiographyDramaThriller
824,Vanilla Sky,"$203,388,341","$100,618,344",49.5%,"$102,769,997",50.5%,2001,ParamountPictures,"$25,015,518","$68,000,000","December14,2001(Domestic)",2hr16min,FantasyMysteryRomanceSci-FiThriller
825,Arrival,"$203,388,186","$100,546,139",49.4%,"$102,842,047",50.6%,2016,ParamountPictures,"$24,074,047","$47,000,000","November10,2016(12markets)",1hr56min,DramaSci-Fi
826,Need for Speed,"$203,277,636","$43,577,636",21.4%,"$159,700,000",78.6%,2014,WaltDisneyStudiosMotionPictures,"$17,844,939","$66,000,000","March12,2014(EMEA,APAC)",2hr12min,ActionCrimeThriller
827,Garfield,"$203,172,417","$75,369,589",37.1%,"$127,802,828",62.9%,2004,TwentiethCenturyFox,"$21,727,611","$50,000,000","June11,2004(Domestic)",1hr20min,AdventureAnimationComedyFamilyFantasy
828,Patch Adams,"$202,292,902","$135,026,902",66.8%,"$67,266,000",33.2%,1998,UniversalPictures,"$25,262,280","$90,000,000","December25,1998(Domestic)",1hr55min,BiographyComedyDramaRomance
829,Teenage Mutant Ninja Turtles: The Movie,"$201,965,915","$135,265,915",67%,"$66,700,000",33%,1990,,$0,$0,,,
830,The Conjuring: The Devil Made Me Do It,"$201,965,074","$65,565,074",32.5%,"$136,400,000",67.5%,2021,,$0,$0,,,
831,Kindergarten Cop,"$201,957,688","$91,457,688",45.3%,"$110,500,000",54.7%,1990,,$0,$0,,,
832,Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%,2020,WarnerBros.,"$33,010,017","$84,500,000","February5,2020(EMEA,APAC)",1hr49min,ActionAdventureComedyCrime
833,Straight Outta Compton,"$201,634,991","$161,197,785",80%,"$40,437,206",20%,2015,UniversalPictures,"$60,200,180","$28,000,000","August14,2015(Domestic)",2hr27min,BiographyDramaHistoryMusic
834,21 Jump Street,"$201,585,328","$138,447,667",68.7%,"$63,137,661",31.3%,2012,SonyPicturesEntertainment(SPE),"$36,302,612","$42,000,000","March15,2012(Australia)",1hr49min,ActionComedyCrime
835,Valkyrie,"$201,545,517","$83,077,833",41.2%,"$118,467,684",58.8%,2008,UnitedArtists,"$21,027,007","$75,000,000","December25,2008(Domestic)",2hr1min,DramaHistoryThrillerWar
836,Open Season,"$200,811,689","$85,105,259",42.4%,"$115,706,430",57.6%,2006,SonyPicturesEntertainment(SPE),"$23,624,548","$85,000,000","September29,2006(4markets)",1hr26min,AdventureAnimationComedyDramaFamily
837,Cats & Dogs,"$200,687,492","$93,385,515",46.5%,"$107,301,977",53.5%,2001,WarnerBros.,"$21,707,617","$60,000,000","July4,2001(Domestic)",1hr27min,ActionComedyFamilyFantasy
838,The Hunt for Red October,"$200,512,643","$122,012,643",60.8%,"$78,500,000",39.2%,1990,,$0,$0,,,
839,Percy Jackson: Sea of Monsters,"$199,850,315","$68,559,554",34.3%,"$131,290,761",65.7%,2013,TwentiethCenturyFox,"$14,401,054","$90,000,000","August7,2013(APAC,Domestic)",1hr46min,AdventureFamilyFantasyThriller
840,Two Weeks Notice,"$199,043,471","$93,354,851",46.9%,"$105,688,620",53.1%,2002,WarnerBros.,"$14,328,494","$60,000,000","December20,2002(Domestic)",1hr41min,ComedyRomance
841,RED,"$199,006,387","$90,380,162",45.4%,"$108,626,225",54.6%,2010,SummitEntertainment,"$21,761,408","$58,000,000","October14,2010(EMEA,APAC)",1hr51min,ActionComedyCrimeThriller
842,Shock Wave 2,"$198,921,659",-,-,"$198,921,659",100%,2020,,$0,$0,,,
843,City of Angels,"$198,685,114","$78,685,114",39.6%,"$120,000,000",60.4%,1998,,$0,$0,,,
844,The Pacifier,"$198,636,868","$113,086,868",56.9%,"$85,550,000",43.1%,2005,WaltDisneyStudiosMotionPictures,"$30,552,694","$56,000,000","March4,2005(Domestic)",1hr35min,ActionComedyDramaFamily
845,50 First Dates,"$198,520,934","$120,908,074",60.9%,"$77,612,860",39.1%,2004,SonyPicturesEntertainment(SPE),"$39,852,237","$75,000,000","February13,2004(Domestic)",1hr39min,ComedyDramaRomance
846,Total Recall,"$198,467,168","$58,877,969",29.7%,"$139,589,199",70.3%,2012,SonyPicturesEntertainment(SPE),"$25,577,758","$125,000,000","August2,2012(APAC)",1hr58min,ActionAdventureSci-FiThriller
847,The Island,"$198,326,350","$670,883",0.3%,"$197,655,467",99.7%,2018,,$0,$0,,,
848,The Impossible,"$198,087,212","$19,019,882",9.6%,"$179,067,330",90.4%,2012,,$0,$0,,,
849,Lost in Thailand,"$197,757,387","$57,387",<0.1%,"$197,700,000",100%,2012,,$0,$0,,,
850,Christopher Robin,"$197,744,377","$99,215,042",50.2%,"$98,529,335",49.8%,2018,WaltDisneyStudiosMotionPictures,"$24,585,139","$75,000,000","August1,2018(Philippines)",1hr44min,AdventureAnimationComedyDramaFamilyFantasyMusical
851,Raging Fire,"$197,693,073","$368,301",0.2%,"$197,324,772",99.8%,2021,,$0,$0,,,
852,Jack the Giant Slayer,"$197,687,603","$65,187,603",33%,"$132,500,000",67%,2013,WarnerBros.,"$27,202,226","$195,000,000","February28,2013(APAC)",1hr54min,AdventureComedyFamilyFantasy
853,Smurfs: The Lost Village,"$197,183,546","$45,020,282",22.8%,"$152,163,264",77.2%,2017,SonyPicturesEntertainment(SPE),"$13,210,449","$60,000,000","March29,2017(EMEA,APAC)",1hr30min,AdventureAnimationComedyFamilyFantasy
854,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%,2021,,$0,$0,,,
855,Spy Kids 3-D: Game Over,"$197,101,678","$111,761,982",56.7%,"$85,339,696",43.3%,2003,DimensionFilms,"$32,500,000","$38,000,000","July25,2003(Domestic)",1hr24min,ActionAdventureComedyFamilySci-Fi
856,Panic Room,"$197,079,546","$96,397,334",48.9%,"$100,682,212",51.1%,2002,SonyPicturesEntertainment(SPE),"$30,056,751","$48,000,000","March29,2002(Domestic)",1hr52min,CrimeDramaThriller
857,The Other Woman,"$196,710,396","$83,911,193",42.7%,"$112,799,203",57.3%,2014,TwentiethCenturyFox,"$24,763,752","$40,000,000","April17,2014(APAC)",1hr49min,ComedyRomance
858,Stargate,"$196,567,262","$71,567,262",36.4%,"$125,000,000",63.6%,1994,,$0,$0,,,
859,Beowulf,"$196,393,745","$82,280,579",41.9%,"$114,113,166",58.1%,2007,ParamountPictures,"$27,515,871","$150,000,000","November14,2007(APAC)",1hr55min,ActionAdventureAnimationFantasy
860,The Vow,"$196,114,570","$125,014,030",63.8%,"$71,100,540",36.2%,2012,ScreenGems,"$41,202,458","$30,000,000","February9,2012(EMEA,APAC)",1hr44min,DramaRomance
861,Anger Management,"$195,745,823","$135,645,823",69.3%,"$60,100,000",30.7%,2003,RevolutionStudios,"$42,220,847","$75,000,000","April11,2003(Domestic)",1hr46min,Comedy
862,Tropic Thunder,"$195,702,963","$110,515,313",56.5%,"$85,187,650",43.5%,2008,DreamWorks,"$25,812,796","$92,000,000","August13,2008(Domestic)",1hr47min,ActionComedyWar
863,The Shape of Water,"$195,333,312","$63,859,435",32.7%,"$131,473,877",67.3%,2017,,$0,$0,,,
864,The Pelican Brief,"$195,268,056","$100,768,056",51.6%,"$94,500,000",48.4%,1993,,$0,$0,,,
865,The BFG,"$195,243,411","$55,483,770",28.4%,"$139,759,641",71.6%,2016,WaltDisneyStudiosMotionPictures,"$18,775,350","$140,000,000","June30,2016(EMEA,APAC)",1hr57min,AdventureFamilyFantasy
866,Rocketman,"$195,179,299","$96,368,160",49.4%,"$98,811,139",50.6%,2019,ParamountPictures,"$25,725,722","$40,000,000","May24,2019(UnitedKingdom)",2hr1min,BiographyDramaMusicMusical
867,The Intern,"$194,564,672","$75,764,672",38.9%,"$118,800,000",61.1%,2015,WarnerBros.,"$17,728,313","$35,000,000","September24,2015(20markets)",2hr1min,ComedyDrama
868,Wallace & Gromit: The Curse of the Were-Rabbit,"$194,137,091","$56,110,897",28.9%,"$138,026,194",71.1%,2005,,$0,$0,,,
869,Gnomeo & Juliet,"$193,967,670","$99,967,670",51.5%,"$94,000,000",48.5%,2011,,$0,$0,,,
870,Weathering with You,"$193,932,489","$8,056,636",4.2%,"$185,875,853",95.8%,2019,,$0,$0,,,
871,The Sum of All Fears,"$193,921,372","$118,907,036",61.3%,"$75,014,336",38.7%,2002,ParamountPictures,"$31,178,526","$68,000,000","May31,2002(Domestic)",2hr4min,ActionDramaThrillerWar
872,Gangs of New York,"$193,772,504","$77,812,000",40.2%,"$115,960,504",59.8%,2002,Miramax,"$9,100,000","$100,000,000","December20,2002(Domestic)",2hr47min,CrimeDrama
873,The Monkey King 2,"$193,678,298","$709,982",0.4%,"$192,968,316",99.6%,2016,,$0,$0,,,
874,Paranormal Activity,"$193,355,800","$107,918,810",55.8%,"$85,436,990",44.2%,2009,ParamountPictures,"$77,873","$15,000","September25,2009(Domestic)",1hr26min,HorrorMystery
875,The Equalizer,"$192,330,738","$101,530,738",52.8%,"$90,800,000",47.2%,2014,SonyPicturesEntertainment(SPE),"$34,137,828","$55,000,000","September24,2014(Belgium)",2hr12min,ActionCrimeThriller
876,The Lego Movie 2: The Second Part,"$192,306,508","$105,806,508",55%,"$86,500,000",45%,2019,WarnerBros.,"$34,115,335","$99,000,000","February6,2019(EMEA,APAC)",1hr47min,AdventureAnimationComedyFamilyFantasySci-Fi
877,Sheep Without a Shepherd,"$191,602,146",-,-,"$191,602,146",100%,2019,,$0,$0,,,
878,The Addams Family,"$191,502,426","$113,502,426",59.3%,"$78,000,000",40.7%,1991,,$0,$0,,,
879,The Longest Yard,"$191,466,556","$158,119,460",82.6%,"$33,347,096",17.4%,2005,ParamountPictures,"$47,606,480","$82,000,000","May27,2005(Domestic)",1hr53min,ComedyCrimeSport
880,The Santa Clause,"$190,539,357","$145,539,357",76.4%,"$45,000,000",23.6%,1994,WaltDisneyStudiosMotionPictures,"$19,321,992","$22,000,000","November11,1994(Domestic)",1hr37min,ComedyDramaFamilyFantasy
881,Cheaper by the Dozen,"$190,538,630","$138,614,544",72.8%,"$51,924,086",27.2%,2003,TwentiethCenturyFox,"$27,557,647","$40,000,000","December25,2003(Domestic)",1hr38min,ComedyFamily
882,The Equalizer 2,"$190,400,157","$102,084,362",53.6%,"$88,315,795",46.4%,2018,SonyPicturesEntertainment(SPE),"$36,011,640","$62,000,000","July18,2018(LATAM)",2hr1min,ActionCrimeThriller
883,Hollow Man,"$190,213,455","$73,209,340",38.5%,"$117,004,115",61.5%,2000,SonyPicturesEntertainment(SPE),"$26,414,386","$95,000,000","August4,2000(Domestic)",1hr52min,ActionHorrorSci-FiThriller
884,Outbreak,"$189,859,560","$67,659,560",35.6%,"$122,200,000",64.4%,1995,,$0,$0,,,
885,The White Storm 2: Drug Lords,"$189,396,380","$609,461",0.3%,"$188,786,919",99.7%,2019,,$0,$0,,,
886,The X Files,"$189,176,423","$83,898,313",44.4%,"$105,278,110",55.6%,1998,,$0,$0,,,
887,Breakup Buddies,"$189,017,596","$777,896",0.4%,"$188,239,700",99.6%,2014,,$0,$0,,,
888,Rambo III,"$189,015,611","$53,715,611",28.4%,"$135,300,000",71.6%,1988,,$0,$0,,,
889,The Secret Life of Walter Mitty,"$188,133,322","$58,236,838",31%,"$129,896,484",69%,2013,TwentiethCenturyFox,"$12,765,508","$90,000,000","December19,2013(EMEA)",1hr54min,AdventureComedyDramaFantasyRomance
890,Project Gutenberg,"$188,116,796",-,-,"$188,116,796",100%,2018,,$0,$0,,,
891,Jaws 2,"$187,884,007","$81,766,007",43.5%,"$106,118,000",56.5%,1978,,$0,$0,,,
892,12 Years a Slave,"$187,733,202","$56,671,993",30.2%,"$131,061,209",69.8%,2013,FoxSearchlightPictures,"$923,715","$20,000,000","October18,2013(Domestic)",2hr14min,BiographyDramaHistory
893,Heat,"$187,436,818","$67,436,818",36%,"$120,000,000",64%,1995,,$0,$0,,,
894,Mr. Popper's Penguins,"$187,361,754","$68,224,452",36.4%,"$119,137,302",63.6%,2011,TwentiethCenturyFox,"$18,445,355","$55,000,000","June16,2011(Singapore)",1hr34min,ComedyFamilyFantasy
895,The Grudge,"$187,281,115","$110,359,362",58.9%,"$76,921,753",41.1%,2004,SonyPicturesEntertainment(SPE),"$39,128,715","$10,000,000","October22,2004(Domestic)",1hr31min,HorrorMysteryThriller
896,I Now Pronounce You Chuck & Larry,"$187,134,117","$120,059,556",64.2%,"$67,074,561",35.8%,2007,UniversalPictures,"$34,233,750","$85,000,000","July20,2007(Domestic)",1hr55min,ComedyRomance
897,The Horse Whisperer,"$186,883,563","$75,383,563",40.3%,"$111,500,000",59.7%,1998,,$0,$0,,,
898,Walk the Line,"$186,797,986","$119,519,402",64%,"$67,278,584",36%,2005,TwentiethCenturyFox,"$22,347,341","$28,000,000","February2,2005(CzechRepublic/Slovakia)",2hr16min,BiographyDramaMusicRomance
899,Jian Bing Man,"$186,699,768",-,-,"$186,699,768",100%,2015,,$0,$0,,,
900,The Jungle Book 2,"$186,303,759","$47,901,582",25.7%,"$138,402,177",74.3%,2003,,$0,$0,,,
901,The Final Destination,"$186,167,139","$66,477,700",35.7%,"$119,689,439",64.3%,2009,WarnerBros.,"$27,408,309","$40,000,000","August26,2009(France)",1hr22min,ActionHorrorThriller
902,Atlantis: The Lost Empire,"$186,053,725","$84,056,472",45.2%,"$101,997,253",54.8%,2001,WaltDisneyStudiosMotionPictures,"$329,011","$120,000,000","June8,2001(Domestic)",1hr35min,ActionAdventureAnimationFamilyFantasySci-Fi
903,Inside Man,"$186,003,591","$88,513,495",47.6%,"$97,490,096",52.4%,2006,UniversalPictures,"$28,954,945","$45,000,000","March23,2006(9markets)",2hr9min,CrimeDramaMysteryThriller
904,The Waterboy,"$185,991,646","$161,491,646",86.8%,"$24,500,000",13.2%,1998,WaltDisneyStudiosMotionPictures,"$39,414,071","$23,000,000","November6,1998(Domestic)",1hr30min,ComedySport
905,Hugo,"$185,770,310","$73,864,507",39.8%,"$111,905,803",60.2%,2011,,$0,$0,,,
906,Pitch Perfect 3,"$185,400,345","$104,897,530",56.6%,"$80,502,815",43.4%,2017,UniversalPictures,"$19,928,525","$45,000,000","December21,2017(EMEA,APAC)",1hr33min,ComedyMusic
907,Watchmen,"$185,382,813","$107,509,799",58%,"$77,873,014",42%,2009,WarnerBros.,"$55,214,334","$130,000,000","March4,2009(EMEA)",2hr42min,ActionDramaMysterySci-Fi
908,The Birdcage,"$185,260,553","$124,060,553",67%,"$61,200,000",33%,1996,,$0,$0,,,
909,Moulin Rouge!,"$184,935,320","$57,386,607",31%,"$127,548,713",69%,2001,TwentiethCenturyFox,"$167,540","$50,000,000","May18,2001(Domestic)",2hr7min,DramaMusicalRomance
910,Snow White and the Seven Dwarfs,"$184,925,486","$184,925,486",100%,$0,-,1937,,$0,$0,,,
911,Hop,"$183,954,145","$108,085,305",58.8%,"$75,868,840",41.2%,2011,UniversalPictures,"$37,543,710","$63,000,000","March30,2011(Belgium)",1hr35min,AdventureAnimationComedyFamilyFantasy
