,primary_name
998,Kanti Shah
999,Karan Johar
1000,Karan Malhotra
1001,Karey Kirkpatrick
1002,Karyn Kusama
1003,Kasi Lemmons
1004,Kathryn Bigelow
1005,Katsuhiro Ôtomo
1006,Kay Cannon
1007,Kazuaki Kiriya
1008,Keenen Ivory Wayans
1009,Kei'ichi Sato
1010,Kelly Asbury
1011,Kelly Fremon Craig
1012,Kelly Makin
1013,Kemp Powers
1014,Ken Hughes
1015,Ken Kwapis
1016,Ken Loach
1017,Kenneth Branagh
1018,Kenneth Lonergan
1019,Kenny Ortega
1020,Ken Russell
1021,Ken Scott
1022,Kent Alterman
1023,Kerry Conran
1024,Ketche
1025,Kevin Bray
1026,Kevin Donovan
1027,Kevin Greutert
1028,Kevin Hooks
1029,Kevin Jarre
1030,Kevin Kölsch
1031,Kevin Lima
1032,Kevin Macdonald
1033,Kevin Munroe
1034,Kevin R. Adams
1035,Kevin Reynolds
1036,Kevin Rodney Sullivan
1037,Kevin Smith
1038,Kevin Tancharoen
1039,Kieran Mulroney
1040,Kimberly Peirce
1041,Kimble Rendall
1042,Kim Ki-duk
1043,King Vidor
1044,Kinka Usher
1045,Kirk DeMicco
1046,Kirk Jones
1047,Kirk Wise
1048,Kiyoshi Kurosawa
1049,Klay Hall
1050,Kleber Mendonça Filho
1051,Klim Shipenko
1052,Kogonada
1053,Kôji Morimoto
1054,Kôji Shiraishi
1055,Kris Pearn
1056,Kristoffer Nyholm
1057,Kriv Stenders
1058,Kunal Kohli
1059,Kyle Balda
1060,Kyle Newman
1061,Lamberto Bava
1062,Lana Wachowski
1063,Lance Daly
1064,Larry Charles
1065,Larry Clark
1066,Larry Morey
1067,Lars Klevberg
1068,Lars von Trier
1069,Lasse Hallström
1070,Laura Terruso
1071,Lauren Miller Rogen
1072,Lawrence Kasdan
1073,Laxman Utekar
1074,Lazar Bodroza
1075,Lee Daniels
1076,Lee Hirsch
1077,Lee H. Katzin
1078,Lee Isaac Chung
1079,Lee Sternthal
1080,Lee Tamahori
1081,Lee Unkrich
1082,Leigh Janiak
1083,Leigh Whannell
1084,Lenny Abrahamson
1085,Len Wiseman
1086,Les Mayfield
1087,Levan Gabriadze
1088,Lewis Gilbert
1089,Lewis Teague
1090,Liam Lynch
1091,Lilly Wachowski
1092,Lindsay Anderson
1093,Lin Oeding
1094,Lisa Cholodenko
1095,Lloyd Bacon
1096,Lokesh Kanagaraj
1097,Lone Scherfig
1098,Lorene Scafaria
1099,Louis C.K.
1100,Louis Leterrier
