,primary_name
989,Edmund Gwenn
990,Edoardo Pesce
991,Ed O'Neill
992,Ed O'Ross
993,Ed Oxenbould
994,Ed Skrein
995,Ed Speleers
996,Eduardo Antuña
997,Eduardo Noriega
998,Eduardo Verástegui
999,Edward Ashley
1000,Edward Burns
1001,Edward Clements
1002,Edward Edwards
1003,Edward Everett Horton
1004,Edward Fox
1005,Edward Furlong
1006,Edward G. Robinson
1007,Edward Herrmann
1008,Edward Hibbert
1009,Edward James Olmos
1010,Edward Norton
1011,Edward Woodward
1012,Ed Westwick
1013,Edwin Neal
1014,Eero Milonoff
1015,Efrem Zimbalist Jr.
1016,Efren Ramirez
1017,Ejner Federspiel
1018,Elden Henson
1019,Elias Koteas
1020,Eli Goree
1021,Elijah Smith
1022,Elijah Wood
1023,Eli Marienthal
1024,Elio Germano
1025,Eli Roth
1026,Elisha Ali
1027,Eli Wallach
1028,Ellar Coltrane
1029,Elliot Page
1030,Elliott Gould
1031,Elton John
1032,Emile Hirsch
1033,Émile Vallée
1034,Emil Hass Christensen
1035,Emilio Echevarría
1036,Emilio Estevez
1037,Emilio Gavira
1038,Eminem
1039,Emory Cohen
1040,Emraan Hashmi
1041,Eneko Sagardoy
1042,Engin Akyürek
1043,Engin Günaydin
1044,Enrico Colantoni
1045,Ercan Kesal
1046,Ergun Kuyucu
1047,Eric Bana
1048,Eric Bogosian
1049,Eric Christian Olsen
1050,Eric Dane
1051,Eric Gurry
1052,Erich Anderson
1053,Erich Bergen
1054,Eric Idle
1055,Eric Jungmann
1056,Eric Lloyd
1057,Eric Pascal Chaltiel
1058,Eric Roberts
1059,Eric Schweig
1060,Eric Stoltz
1061,Eric Stonestreet
1062,Eric Sykes
1063,Eric Winter
1064,Erik Per Sullivan
1065,Erik Rhodes
1066,Eriq Ebouaney
1067,Erkan Can
1068,Erland Josephson
1069,Ernest Borgnine
1070,Ernie Hudson
1071,Ernst-Hugo Järegård
1072,Erol Günaydin
1073,Eron Tabor
1074,Esai Morales
1075,Esmond Knight
1076,Ethan Embry
1077,Ethan Hawke
1078,Ethan Stiefel
1079,Ethan Suplee
1080,Eugene Collier
1081,Eugene Levy
1082,Eugenio Derbez
1083,Eusebio Poncela
1084,Evan Bird
1085,Evan Peters
1086,Evan Richards
1087,Evan Ross
1088,Everett McGill
1089,Ewan McGregor
1090,Ewen Bremner
1091,Eyad Hourani
1092,Eythor Gudjonsson
1093,Ezra Godden
1094,Fabrice Luchini
1095,Fabrizio Rongione
1096,Fahadh Faasil
1097,Falk Hentschel
1098,Fardeen Khan
1099,Fares Fares
1100,Farhan Akhtar
1101,Fayssal Bazzi
1102,Federico Castelluccio
1103,Federico Luppi
1104,Fedor Bondarchuk
1105,Fele Martínez
1106,Fengyi Zhang
1107,Ferhan Sensoy
1108,Fernando Rey
1109,Filip Peeters
1110,Finn Scicluna-O'Prey
1111,Finn Wittrock
1112,Finn Wolfhard
1113,Fionn Whitehead
1114,Firat Dogruloglu
1115,Fisayo Akinade
1116,Fiston Barek
1117,Flavio Bucci
1118,Flea
1119,Flex Alexander
1120,Florian Lukas
1121,F. Murray Abraham
1122,Forest Whitaker
1123,Francesco Carnelutti
1124,Francisco Rabal
1125,Francis L. Sullivan
1126,François Berléand
1127,François Périer
1128,François Truffaut
1129,Franco Nero
1130,Frank Acciarito
1131,Frank Adu
1132,Frank Campanella
1133,Frank Deal
1134,Frank Finlay
1135,Frank Grillo
1136,Frankie Avalon
1137,Frankie Muniz
1138,Frank Langella
1139,Franklin Cover
1140,Frank Lovejoy
1141,Frank McRae
1142,Frank Medrano
1143,Frank Moore
1144,Frank Morgan
1145,Fran Kranz
1146,Frank Reicher
1147,Frank Sinatra
1148,Frank Todaro
1149,Frank Welker
1150,Frank Whaley
1151,Franky G
1152,Franz Rogowski
1153,Fred Astaire
1154,Freddie Fletcher
1155,Freddie Fox
1156,Freddie Highmore
1157,Freddie Jones
1158,Freddie Prinze Jr.
1159,Freddy Daruwala
1160,Frédéric Andréi
1161,Frédéric Diefenthal
1162,Frederick Lau
1163,Frederick Schmidt
1164,Fred Gwynne
1165,Fred Norris
1166,Fredric March
1167,Fred Savage
1168,Fred Thompson
1169,Fred Ulysse
1170,Fred Ward
1171,Fred Willard
1172,French Stewart
1173,Friedrich Mücke
1174,Fumiyo Kohinata
1175,Gabe Fazio
1176,Gábor Czap
1177,Gabriel Bateman
1178,Gabriel Byrne
1179,Gabriele Ferzetti
1180,Gabriel Macht
1181,Gabriel Mann
1182,Gabriel Rush
1183,Gabriel Weinstein
1184,Gad Elmaleh
1185,Gael García Bernal
1186,Garikayi Mutambirwa
1187,Garret Dillahunt
1188,Garrett Hedlund
1189,Garrett M. Brown
1190,Garry Marshall
1191,Gary Busey
1192,Gary Cockrell
1193,Gary Cole
1194,Gary Cooper
1195,Gary Farmer
1196,Gary Lewis
1197,Gary Lockwood
1198,Gary Oldman
1199,Gary Poulter
1200,Gary Sinise
1201,Gastón Cocchiarale
1202,Gattlin Griffith
1203,Gedde Watanabe
1204,Gene Hackman
1205,Gene Simmons
1206,Gene Wilder
1207,Geno Silva
1208,Geoffrey Arend
1209,Geoffrey Blake
1210,Geoffrey Rush
1211,Geoff Stults
1212,George Babluani
1213,George Brent
1214,George Chakiris
1215,George Clooney
1216,George C. Scott
1217,George Dzundza
1218,George Finn
1219,George Harrison
1220,George Kennedy
1221,George L. Lewis
1222,George Lopez
1223,George Macready
1224,George Maryan
1225,Georges Adet
1226,George Sanders
1227,George Tobias
1228,George Tovar
1229,George Wendt
1230,George Zlatarev
1231,Gerald McRaney
1232,Gerald R. Molen
1233,Gerard Butler
1234,Gérard Depardieu
1235,Gerard Hendrick
1236,Gerardo Taracena
1237,Germán Palacios
1238,Gerrit Graham
1239,Gerry Becker
1240,Gerry Bednob
1241,Gerry Robert Byrne
1242,Giancarlo Esposito
1243,Giancarlo Giannini
1244,Gianfelice Imparato
1245,Gil Bellows
1246,Gilbert Melki
1247,Gil Birmingham
1248,Giles Matthey
1249,Gilles De Schryver
1250,Gino Cervi
1251,Gio Perez
1252,Giovanni Ribisi
1253,Giuliano Gemma
1254,Giulio Bosetti
1255,Giuseppe Andrews
1256,Giuseppe Sulfaro
1257,Glen Campbell
1258,Glen Hansard
1259,Glenn Ford
1260,Glenn Jacobs
1261,Godfrey Tearle
1262,Gong Yoo
1263,Goran Visnjic
1264,Gore Vidal
1265,Görkem Kasal
1266,Gorô Kishitani
1267,Götz Otto
1268,Goûchy Boy
1269,Govind Namdeo
1270,Graham Crowden
1271,Graham Greene
1272,Graham McTavish
1273,Graham Norton
1274,Graham Verchere
1275,Gray Powell
1276,Greg Andrews
1277,Greg Cruttwell
1278,Greg Germann
1279,Gregg Henry
1280,Greg Grunberg
1281,Greg Hicks
1282,Greg Kinnear
